label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3]
486.e2	[1,-1,1,25,-161]	1 5
486.f1	[1,-1,1,-56,163]	1 5
486.f2	[1,-1,1,-11,-11]	1 5
576.a1	[0,0,0,-27,0]	6 2
576.a2	[0,0,0,108,0]	6 2
576.b1	[0,0,0,-13836,-626416]	6 2
576.b2	[0,0,0,-2316,42896]	6 2
576.b3	[0,0,0,-876,-9520]	6 2
576.b4	[0,0,0,-156,560]	6 2
576.b5	[0,0,0,24,56]	6 2
576.b6	[0,0,0,564,-37744]	6 2
576.c1	[0,0,0,-396,-3024]	6 2
576.c2	[0,0,0,-396,3024]	6 2
576.c3	[0,0,0,-36,0]	6 2
576.c4	[0,0,0,9,0]	6 2
576.d1	[0,0,0,-13836,626416]	6 2
576.d2	[0,0,0,-2316,-42896]	6 2
576.d3	[0,0,0,-876,9520]	6 2
576.d4	[0,0,0,-156,-560]	6 2
576.d5	[0,0,0,24,-56]	6 2
576.d6	[0,0,0,564,37744]	6 2
576.e1	[0,0,0,-540,-4752]	6 2
576.e2	[0,0,0,-60,176]	6 2
576.e3	[0,0,0,0,-216]	6 2
576.e4	[0,0,0,0,8]	6 2
576.f1	[0,0,0,-540,4752]	6 2
576.f2	[0,0,0,-60,-176]	6 2
576.f3	[0,0,0,0,-8]	6 2
576.f4	[0,0,0,0,216]	6 2
576.g1	[0,0,0,-1164,-15280]	6 2
576.g2	[0,0,0,-84,-160]	6 2
576.g3	[0,0,0,-39,92]	6 2
576.g4	[0,0,0,276,-1168]	6 2
576.h1	[0,0,0,-1164,15280]	6 2
576.h2	[0,0,0,-84,160]	6 2
576.h3	[0,0,0,-39,-92]	6 2
576.h4	[0,0,0,276,1168]	6 2
576.i1	[0,0,0,-3,0]	6 2
576.i2	[0,0,0,12,0]	6 2
648.a1	[0,0,0,-3,-1]	3 4
648.b1	[0,0,0,-3,14]	3 4
648.c1	[0,0,0,-27,27]	3 4
648.d1	[0,0,0,-27,-378]	3 4
768.a1	[0,-1,0,-2589,-49851]	8 1
768.a2	[0,-1,0,-159,-765]	8 1
768.a3	[0,-1,0,-29,69]	8 1
768.a4	[0,-1,0,1,3]	8 1
768.b1	[0,-1,0,-23,51]	8 1
768.b2	[0,-1,0,-13,85]	8 1
768.c1	[0,-1,0,-93,-315]	8 1
768.c2	[0,-1,0,-3,-9]	8 1
768.d1	[0,-1,0,-647,6555]	8 1
768.d2	[0,-1,0,-637,6757]	8 1
768.d3	[0,-1,0,-7,-5]	8 1
768.d4	[0,-1,0,3,-27]	8 1
768.e1	[0,1,0,-2589,49851]	8 1
768.e2	[0,1,0,-159,765]	8 1
768.e3	[0,1,0,-29,-69]	8 1
768.e4	[0,1,0,1,-3]	8 1
768.f1	[0,1,0,-93,315]	8 1
768.f2	[0,1,0,-3,9]	8 1
768.g1	[0,1,0,-23,-51]	8 1
768.g2	[0,1,0,-13,-85]	8 1
768.h1	[0,1,0,-647,-6555]	8 1
768.h2	[0,1,0,-637,-6757]	8 1
768.h3	[0,1,0,-7,5]	8 1
768.h4	[0,1,0,3,27]	8 1
864.a1	[0,0,0,-216,-1296]	5 3
864.b1	[0,0,0,24,16]	5 3
864.c1	[0,0,0,24,-16]	5 3
864.d1	[0,0,0,-216,1296]	5 3
864.e1	[0,0,0,-3,6]	5 3
864.f1	[0,0,0,-3,-6]	5 3
864.g1	[0,0,0,-27,-162]	5 3
864.h1	[0,0,0,-27,162]	5 3
864.i1	[0,0,0,-24,48]	5 3
864.j1	[0,0,0,216,-432]	5 3
864.k1	[0,0,0,216,432]	5 3
864.l1	[0,0,0,-24,-48]	5 3
972.a1	[0,0,0,0,-972]	2 5
972.a2	[0,0,0,0,36]	2 5
972.b1	[0,0,0,0,-243]	2 5
972.b2	[0,0,0,0,9]	2 5
972.c1	[0,0,0,0,-12]	2 5
972.c2	[0,0,0,0,324]	2 5
972.d1	[0,0,0,0,-3]	2 5
972.d2	[0,0,0,0,81]	2 5
1152.a1	[0,0,0,-1272,-17440]	7 2
1152.a2	[0,0,0,-57,-430]	7 2
1152.b1	[0,0,0,-1272,17440]	7 2
1152.b2	[0,0,0,-57,430]	7 2
1152.c1	[0,0,0,-21,-34]	7 2
1152.c2	[0,0,0,24,-160]	7 2
1152.d1	[0,0,0,-216,-864]	7 2
1152.d2	[0,0,0,-81,270]	7 2
1152.e1	[0,0,0,-36,-80]	7 2
1152.e2	[0,0,0,-6,4]	7 2
1152.f1	[0,0,0,-216,864]	7 2
1152.f2	[0,0,0,-81,-270]	7 2
1152.g1	[0,0,0,-36,80]	7 2
1152.g2	[0,0,0,-6,-4]	7 2
1152.h1	[0,0,0,-21,34]	7 2
1152.h2	[0,0,0,24,160]	7 2
1152.i1	[0,0,0,-120,-416]	7 2
1152.i2	[0,0,0,15,-38]	7 2
1152.j1	[0,0,0,-30,-52]	7 2
1152.j2	[0,0,0,60,-304]	7 2
1152.k1	[0,0,0,-30,52]	7 2
1152.k2	[0,0,0,60,304]	7 2
1152.l1	[0,0,0,-120,416]	7 2
1152.l2	[0,0,0,15,38]	7 2
1152.m1	[0,0,0,-84,-272]	7 2
1152.m2	[0,0,0,6,-20]	7 2
1152.n1	[0,0,0,-24,32]	7 2
1152.n2	[0,0,0,-9,-10]	7 2
1152.o1	[0,0,0,-324,2160]	7 2
1152.o2	[0,0,0,-54,-108]	7 2
1152.p1	[0,0,0,-24,-32]	7 2
1152.p2	[0,0,0,-9,10]	7 2
1152.q1	[0,0,0,-324,-2160]	7 2
1152.q2	[0,0,0,-54,108]	7 2
1152.r1	[0,0,0,-84,272]	7 2
1152.r2	[0,0,0,6,20]	7 2
1152.s1	[0,0,0,-318,-2180]	7 2
1152.s2	[0,0,0,-228,-3440]	7 2
1152.t1	[0,0,0,-318,2180]	7 2
1152.t2	[0,0,0,-228,3440]	7 2
1296.a1	[0,0,0,-39,-94]	4 4
1296.a2	[0,0,0,81,-486]	4 4
1296.b1	[0,0,0,-189,999]	4 4
1296.b2	[0,0,0,-9,-9]	4 4
1296.c1	[0,0,0,-99,-414]	4 4
1296.c2	[0,0,0,621,594]	4 4
1296.d1	[0,0,0,-3,-14]	4 4
1296.e1	[0,0,0,-3,1]	4 4
1296.f1	[0,0,0,-17235,-870894]	4 4
1296.f2	[0,0,0,-13635,-1244862]	4 4
1296.f3	[0,0,0,-675,7074]	4 4
1296.f4	[0,0,0,45,18]	4 4
1296.g1	[0,0,0,-155115,23514138]	4 4
1296.g2	[0,0,0,-1515,46106]	4 4
1296.g3	[0,0,0,-75,-262]	4 4
1296.g4	[0,0,0,405,-486]	4 4
1296.h1	[0,0,0,-27,378]	4 4
1296.i1	[0,0,0,-27,-27]	4 4
1296.j1	[0,0,0,-351,2538]	4 4
1296.j2	[0,0,0,9,18]	4 4
1296.k1	[0,0,0,-81,243]	4 4
1296.k2	[0,0,0,-21,-37]	4 4
1296.l1	[0,0,0,-891,11178]	4 4
1296.l2	[0,0,0,69,-22]	4 4
1728.a1	[0,0,0,-432,-4320]	6 3
1728.b1	[0,0,0,-432,4320]	6 3
1728.c1	[0,0,0,-7884,-357264]	6 3
1728.c2	[0,0,0,-204,1136]	6 3
1728.c3	[0,0,0,756,5616]	6 3
1728.d1	[0,0,0,-7884,357264]	6 3
1728.d2	[0,0,0,-204,-1136]	6 3
1728.d3	[0,0,0,756,-5616]	6 3
1728.e1	[0,0,0,-6,6]	6 3
1728.f1	[0,0,0,54,-54]	6 3
1728.g1	[0,0,0,54,54]	6 3
1728.h1	[0,0,0,-6,-6]	6 3
1728.i1	[0,0,0,-108,-7344]	6 3
1728.j1	[0,0,0,-108,-1296]	6 3
1728.k1	[0,0,0,-108,1296]	6 3
1728.l1	[0,0,0,-108,7344]	6 3
1728.m1	[0,0,0,0,-32]	6 3
1728.m2	[0,0,0,0,864]	6 3
1728.n1	[0,0,0,-1080,-13662]	6 3
1728.n2	[0,0,0,-120,506]	6 3
1728.n3	[0,0,0,0,-54]	6 3
1728.n4	[0,0,0,0,2]	6 3
1728.o1	[0,0,0,-1080,13662]	6 3
1728.o2	[0,0,0,-120,-506]	6 3
1728.o3	[0,0,0,0,-2]	6 3
1728.o4	[0,0,0,0,54]	6 3
1728.p1	[0,0,0,0,-864]	6 3
1728.p2	[0,0,0,0,32]	6 3
1728.q1	[0,0,0,-12,48]	6 3
1728.r1	[0,0,0,-12,272]	6 3
1728.s1	[0,0,0,-12,-272]	6 3
1728.t1	[0,0,0,-12,-48]	6 3
1728.u1	[0,0,0,-54,-162]	6 3
1728.v1	[0,0,0,6,2]	6 3
1728.w1	[0,0,0,6,-2]	6 3
1728.x1	[0,0,0,-54,162]	6 3
1728.y1	[0,0,0,-1836,-30672]	6 3
1728.y2	[0,0,0,-876,13232]	6 3
1728.y3	[0,0,0,84,-208]	6 3
1728.z1	[0,0,0,-1836,30672]	6 3
1728.z2	[0,0,0,-876,-13232]	6 3
1728.z3	[0,0,0,84,208]	6 3
1728.ba1	[0,0,0,-48,160]	6 3
1728.bb1	[0,0,0,-48,-160]	6 3
1944.a1	[0,0,0,-27,-90]	3 5
1944.b1	[0,0,0,-486,-4131]	3 5
1944.c1	[0,0,0,-36,84]	3 5
1944.d1	[0,0,0,9,-6]	3 5
1944.e1	[0,0,0,-243,1134]	3 5
1944.f1	[0,0,0,-27,-42]	3 5
1944.g1	[0,0,0,-54,153]	3 5
1944.h1	[0,0,0,-324,-2268]	3 5
1944.i1	[0,0,0,81,162]	3 5
1944.j1	[0,0,0,-243,2430]	3 5
2304.a1	[0,0,0,-72,0]	8 2
2304.a2	[0,0,0,18,0]	8 2
2304.b1	[0,0,0,-5826,-171160]	8 2
2304.b2	[0,0,0,-5736,-176704]	8 2
2304.b3	[0,0,0,-66,200]	8 2
2304.b4	[0,0,0,24,704]	8 2
2304.c1	[0,0,0,-6,0]	8 2
2304.c2	[0,0,0,24,0]	8 2
2304.d1	[0,0,0,-216,0]	8 2
2304.d2	[0,0,0,54,0]	8 2
2304.e1	[0,0,0,-5826,171160]	8 2
2304.e2	[0,0,0,-5736,176704]	8 2
2304.e3	[0,0,0,-66,-200]	8 2
2304.e4	[0,0,0,24,-704]	8 2
2304.f1	[0,0,0,-210,-1168]	8 2
2304.f2	[0,0,0,-120,-2176]	8 2
2304.g1	[0,0,0,-840,-9344]	8 2
