label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3,5,7]
7620480.ok1	[0,0,0,5103,-23814]	7 5 1 2
7620480.ol1	[0,0,0,-10132857,-12415166946]	7 5 1 2
7620480.om1	[0,0,0,-1963332,1065698256]	7 5 1 2
7620480.on1	[0,0,0,-10017,388374]	7 5 1 2
7620480.oo1	[0,0,0,-51597,43285914]	7 5 1 2
7620480.op1	[0,0,0,-51597,-4389714]	7 5 1 2
7620480.oq1	[0,0,0,1323,-487746]	7 5 1 2
7620480.or1	[0,0,0,-18522,-86436]	7 5 1 2
7620480.os1	[0,0,0,-1512,-2016]	7 5 1 2
7620480.ot1	[0,0,0,7938,51454116]	7 5 1 2
7620480.ou1	[0,0,0,-31752,889056]	7 5 1 2
7620480.ov1	[0,0,0,-7966926072,273722044738464]	7 5 1 2
7620480.ow1	[0,0,0,-221303502,-1267231688604]	7 5 1 2
7620480.ox1	[0,0,0,-882,-4116]	7 5 1 2
7620480.oy1	[0,0,0,3528,-15245664]	7 5 1 2
7620480.oz1	[0,0,0,-3402,6804]	7 5 1 2
7620480.pa1	[0,0,0,-666792,18670176]	7 5 1 2
7620480.pb1	[0,0,0,47628,105353136]	7 5 1 2
7620480.pc1	[0,0,0,-22932,1300656]	7 5 1 2
7620480.pd1	[0,0,0,-22932,-12825456]	7 5 1 2
7620480.pe1	[0,0,0,12348,806736]	7 5 1 2
7620480.pf1	[0,0,0,63,294]	7 5 1 2
7620480.pg1	[0,0,0,1323,6174]	7 5 1 2
7620480.ph1	[0,0,0,-51597,-4562586]	7 5 1 2
7620480.pi1	[0,0,0,-31752,1651104]	7 5 1 2
7620480.pj1	[0,0,0,-3941217,-4503679866]	7 5 1 2
7620480.pk1	[0,0,0,-388962,70791084]	7 5 1 2
7620480.pl1	[0,0,0,-13387437,-18853599366]	7 5 1 2
7620480.pm1	[0,0,0,-10962,-441756]	7 5 1 2
7620480.pn1	[0,0,0,-2148552,-1212178464]	7 5 1 2
7620480.po1	[0,0,0,-4834242,4091102316]	7 5 1 2
7620480.pp1	[0,0,0,-394632,95419296]	7 5 1 2
7620480.pq1	[0,0,0,-5949972,5586251664]	7 5 1 2
7620480.pr1	[0,0,0,-172872,-20975136]	7 5 1 2
7620480.ps1	[0,0,0,-1751652,1334423664]	7 5 1 2
7620480.pt1	[0,0,0,-882,-7644]	7 5 1 2
7620480.pu1	[0,0,0,-1857492,985518576]	7 5 1 2
7620480.pv1	[0,0,0,47628,-1333584]	7 5 1 2
7620480.pw1	[0,0,0,2268,-63504]	7 5 1 2
7620480.px1	[0,0,0,27783,-2722734]	7 5 1 2
7620480.py1	[0,0,0,7938,4116]	7 5 1 2
7620480.pz1	[0,0,0,-885833172,10133210018736]	7 5 1 2
7620480.qa1	[0,0,0,-4519557,3692860794]	7 5 1 2
7620480.qb1	[0,0,0,-18522,942564]	7 5 1 2
7620480.qc1	[0,0,0,7938,-1444716]	7 5 1 2
7620480.qd1	[0,0,0,-845397,-257215014]	7 5 1 2
7620480.qe1	[0,0,0,-385812,92238384]	7 5 1 2
7620480.qf1	[0,0,0,-4726197,3954720714]	7 5 1 2
7620480.qg1	[0,0,0,-150822,24782436]	7 5 1 2
7620480.qh1	[0,0,0,-67032,-7342944]	7 5 1 2
7620480.qi1	[0,0,0,-170143092,-854219674224]	7 5 1 2
7620480.qj1	[0,0,0,-868077,-311304546]	7 5 1 2
7620480.qk1	[0,0,0,-375732,76211856]	7 5 1 2
7620480.ql1	[0,0,0,3528,428064]	7 5 1 2
7620480.qm1	[0,0,0,-666792,-203593824]	7 5 1 2
7620480.qn1	[0,0,0,-2008692,-1094180976]	7 5 1 2
7620480.qo1	[0,0,0,-24606477,-46913009346]	7 5 1 2
7620480.qp1	[0,0,0,285768,-889056]	7 5 1 2
8467200.a1	[0,0,0,-6085800,5852952000]	8 3 2 2
8467200.b1	[0,0,0,-676200,216776000]	8 3 2 2
8467200.c1	[0,0,0,-1470,19600]	8 3 2 2
8467200.d1	[0,0,0,-2593080,1452124800]	8 3 2 2
8467200.e1	[0,0,0,-264600,148176000]	8 3 2 2
8467200.f1	[0,0,0,-1323000,-529200000]	8 3 2 2
8467200.g1	[0,0,0,-1800750,-840350000]	8 3 2 2
8467200.h1	[0,0,0,-147000,-19600000]	8 3 2 2
8467200.i1	[0,0,0,-16206750,-22689450000]	8 3 2 2
8467200.j1	[0,0,0,-29400,5488000]	8 3 2 2
8467200.k1	[0,0,0,-13230,529200]	8 3 2 2
8467200.l1	[0,0,0,-288120,53782400]	8 3 2 2
8467200.m1	[0,0,0,-648270,-181515600]	8 3 2 2
8467200.n1	[0,0,0,-5880,-156800]	8 3 2 2
8467200.o1	[0,0,0,-66150,-18522000]	8 3 2 2
8467200.p1	[0,0,0,-7203000,6722800000]	8 3 2 2
8467200.q1	[0,0,0,-330750,66150000]	8 3 2 2
8467200.r1	[0,0,0,-64827000,181515600000]	8 3 2 2
8467200.s1	[0,0,0,-36750,2450000]	8 3 2 2
8467200.t1	[0,0,0,-7350,-686000]	8 3 2 2
8467200.u1	[0,0,0,-72030,-6722800]	8 3 2 2
8467200.v1	[0,0,0,-52920,-4233600]	8 3 2 2
8467200.w1	[0,0,0,-1521450,-731619000]	8 3 2 2
8467200.x1	[0,0,0,-169050,-27097000]	8 3 2 2
8467200.y1	[0,0,0,-3930978450,-94863492164000]	8 3 2 2
8467200.z1	[0,0,0,-35378806050,-2561314288428000]	8 3 2 2
8467200.ba1	[0,0,0,7350,-686000]	8 3 2 2
8467200.bb1	[0,0,0,-59476200,-176752016000]	8 3 2 2
8467200.bc1	[0,0,0,-2731050,-1739178000]	8 3 2 2
8467200.bd1	[0,0,0,-535285800,-4772304432000]	8 3 2 2
8467200.be1	[0,0,0,-303450,-64414000]	8 3 2 2
8467200.bf1	[0,0,0,66150,-18522000]	8 3 2 2
8467200.bg1	[0,0,0,-463050,-259308000]	8 3 2 2
8467200.bh1	[0,0,0,-4200,-224000]	8 3 2 2
8467200.bi1	[0,0,0,-51450,-9604000]	8 3 2 2
8467200.bj1	[0,0,0,-37800,-6048000]	8 3 2 2
8467200.bk1	[0,0,0,-11443950,14900949000]	8 3 2 2
8467200.bl1	[0,0,0,-1271550,551887000]	8 3 2 2
8467200.bm1	[0,0,0,-45775800,-119207592000]	8 3 2 2
8467200.bn1	[0,0,0,-5086200,-4415096000]	8 3 2 2
8467200.bo1	[0,0,0,-1050,28000]	8 3 2 2
8467200.bp1	[0,0,0,-1852200,2074464000]	8 3 2 2
8467200.bq1	[0,0,0,-9450,756000]	8 3 2 2
8467200.br1	[0,0,0,-205800,76832000]	8 3 2 2
8467200.bs1	[0,0,0,29400,5488000]	8 3 2 2
8467200.bt1	[0,0,0,-10924200,13913424000]	8 3 2 2
8467200.bu1	[0,0,0,-14869050,22094002000]	8 3 2 2
8467200.bv1	[0,0,0,-1213800,515312000]	8 3 2 2
8467200.bw1	[0,0,0,-133821450,596538054000]	8 3 2 2
8467200.bx1	[0,0,0,264600,148176000]	8 3 2 2
8467200.by1	[0,0,0,-15723913800,758907937312000]	8 3 2 2
8467200.bz1	[0,0,0,-141515224200,20490514307424000]	8 3 2 2
8467200.ca1	[0,0,0,-68250,-6860000]	8 3 2 2
8467200.cb1	[0,0,0,-120393000,-508243680000]	8 3 2 2
8467200.cc1	[0,0,0,-98280,11854080]	8 3 2 2
8467200.cd1	[0,0,0,-133770,18823840]	8 3 2 2
8467200.ce1	[0,0,0,-3439800,2455488000]	8 3 2 2
8467200.cf1	[0,0,0,-4681950,3899224000]	8 3 2 2
8467200.cg1	[0,0,0,-382200,90944000]	8 3 2 2
8467200.ch1	[0,0,0,-42137550,105279048000]	8 3 2 2
8467200.ci1	[0,0,0,-10920,439040]	8 3 2 2
8467200.cj1	[0,0,0,-1203930,508243680]	8 3 2 2
8467200.ck1	[0,0,0,-614250,-185220000]	8 3 2 2
8467200.cl1	[0,0,0,-13377000,-18823840000]	8 3 2 2
8467200.cm1	[0,0,0,1470,-178360]	8 3 2 2
8467200.cn1	[0,0,0,1323000,4815720000]	8 3 2 2
8467200.co1	[0,0,0,147000,178360000]	8 3 2 2
8467200.cp1	[0,0,0,13230,-4815720]	8 3 2 2
8467200.cq1	[0,0,0,-39690,2963520]	8 3 2 2
8467200.cr1	[0,0,0,-441000,-109760000]	8 3 2 2
8467200.cs1	[0,0,0,-3969000,-2963520000]	8 3 2 2
8467200.ct1	[0,0,0,-4410,109760]	8 3 2 2
8467200.cu1	[0,0,0,22050,-686000]	8 3 2 2
8467200.cv1	[0,0,0,198450,-18522000]	8 3 2 2
8467200.cw1	[0,0,0,-463050,-64827000]	8 3 2 2
8467200.cx1	[0,0,0,-4200,-56000]	8 3 2 2
8467200.cy1	[0,0,0,-264600,44452800]	8 3 2 2
8467200.cz1	[0,0,0,-183750,-25725000]	8 3 2 2
8467200.da1	[0,0,0,-3969000,2771440000]	8 3 2 2
8467200.db1	[0,0,0,-152145000,718653600000]	8 3 2 2
8467200.dc1	[0,0,0,-169050,-26616800]	8 3 2 2
8467200.dd1	[0,0,0,-357210,-74828880]	8 3 2 2
8467200.de1	[0,0,0,-10290,672280]	8 3 2 2
8467200.df1	[0,0,0,-7560,423360]	8 3 2 2
8467200.dg1	[0,0,0,-9261000,-18151560000]	8 3 2 2
8467200.dh1	[0,0,0,-5250,-245000]	8 3 2 2
8467200.di1	[0,0,0,-1029000,-672280000]	8 3 2 2
8467200.dj1	[0,0,0,-47250,-6615000]	8 3 2 2
8467200.dk1	[0,0,0,-92610,18151560]	8 3 2 2
8467200.dl1	[0,0,0,-840,15680]	8 3 2 2
8467200.dm1	[0,0,0,-39690,-2771440]	8 3 2 2
8467200.dn1	[0,0,0,-1521450,-718653600]	8 3 2 2
8467200.do1	[0,0,0,-16905000,26616800000]	8 3 2 2
8467200.dp1	[0,0,0,-35721000,74828880000]	8 3 2 2
8467200.dq1	[0,0,0,-1653750,-694575000]	8 3 2 2
8467200.dr1	[0,0,0,-29400,1646400]	8 3 2 2
8467200.ds1	[0,0,0,-51450,-2401000]	8 3 2 2
8467200.dt1	[0,0,0,-37800,-1512000]	8 3 2 2
8467200.du1	[0,0,0,-1852200,-10890936000]	8 3 2 2
8467200.dv1	[0,0,0,-4200,1176000]	8 3 2 2
8467200.dw1	[0,0,0,-1050,-147000]	8 3 2 2
8467200.dx1	[0,0,0,-463050,1361367000]	8 3 2 2
8467200.dy1	[0,0,0,463050,64827000]	8 3 2 2
8467200.dz1	[0,0,0,1050,-7000]	8 3 2 2
8467200.ea1	[0,0,0,4200,56000]	8 3 2 2
8467200.eb1	[0,0,0,1852200,-518616000]	8 3 2 2
8467200.ec1	[0,0,0,9450,-189000]	8 3 2 2
8467200.ed1	[0,0,0,51450,2401000]	8 3 2 2
8467200.ee1	[0,0,0,205800,-19208000]	8 3 2 2
8467200.ef1	[0,0,0,37800,1512000]	8 3 2 2
8467200.eg1	[0,0,0,-37800,31752000]	8 3 2 2
8467200.eh1	[0,0,0,-205800,-403368000]	8 3 2 2
8467200.ei1	[0,0,0,-51450,50421000]	8 3 2 2
8467200.ej1	[0,0,0,-9450,-3969000]	8 3 2 2
8467200.ek1	[0,0,0,-1050,7000]	8 3 2 2
8467200.el1	[0,0,0,-1852200,518616000]	8 3 2 2
8467200.em1	[0,0,0,-66150,-5556600]	8 3 2 2
8467200.en1	[0,0,0,-735000,205800000]	8 3 2 2
8467200.eo1	[0,0,0,-992250,-346430000]	8 3 2 2
8467200.ep1	[0,0,0,-38036250,-89831700000]	8 3 2 2
8467200.eq1	[0,0,0,-676200,212934400]	8 3 2 2
8467200.er1	[0,0,0,-1428840,598631040]	8 3 2 2
8467200.es1	[0,0,0,-1890,-52920]	8 3 2 2
8467200.et1	[0,0,0,-41160,-5378240]	8 3 2 2
8467200.eu1	[0,0,0,-21000,1960000]	8 3 2 2
8467200.ev1	[0,0,0,-2315250,2268945000]	8 3 2 2
8467200.ew1	[0,0,0,-189000,52920000]	8 3 2 2
8467200.ex1	[0,0,0,-257250,84035000]	8 3 2 2
8467200.ey1	[0,0,0,-210,-1960]	8 3 2 2
8467200.ez1	[0,0,0,-370440,-145212480]	8 3 2 2
8467200.fa1	[0,0,0,-158760,22171520]	8 3 2 2
8467200.fb1	[0,0,0,-6085800,5749228800]	8 3 2 2
8467200.fc1	[0,0,0,-4226250,-3327100000]	8 3 2 2
8467200.fd1	[0,0,0,-8930250,-9353610000]	8 3 2 2
8467200.fe1	[0,0,0,-6615000,5556600000]	8 3 2 2
8467200.ff1	[0,0,0,-7350,-205800]	8 3 2 2
8467200.fg1	[0,0,0,-9450,189000]	8 3 2 2
8467200.fh1	[0,0,0,-205800,19208000]	8 3 2 2
8467200.fi1	[0,0,0,88200,5488000]	8 3 2 2
8467200.fj1	[0,0,0,793800,148176000]	8 3 2 2
8467200.fk1	[0,0,0,-158760,-23708160]	8 3 2 2
8467200.fl1	[0,0,0,-110250,13720000]	8 3 2 2
8467200.fm1	[0,0,0,-992250,370440000]	8 3 2 2
8467200.fn1	[0,0,0,-17640,-878080]	8 3 2 2
8467200.fo1	[0,0,0,5880,1426880]	8 3 2 2
8467200.fp1	[0,0,0,330750,-601965000]	8 3 2 2
8467200.fq1	[0,0,0,36750,-22295000]	8 3 2 2
8467200.fr1	[0,0,0,52920,38525760]	8 3 2 2
8467200.fs1	[0,0,0,-30098250,63530460000]	8 3 2 2
8467200.ft1	[0,0,0,-273000,54880000]	8 3 2 2
8467200.fu1	[0,0,0,-535080,-150590720]	8 3 2 2
8467200.fv1	[0,0,0,-24570,-1481760]	8 3 2 2
8467200.fw1	[0,0,0,-18727800,-31193792000]	8 3 2 2
8467200.fx1	[0,0,0,-859950,-306936000]	8 3 2 2
8467200.fy1	[0,0,0,-168550200,-842232384000]	8 3 2 2
8467200.fz1	[0,0,0,-95550,-11368000]	8 3 2 2
8467200.ga1	[0,0,0,-4815720,-4065949440]	8 3 2 2
8467200.gb1	[0,0,0,-2730,-54880]	8 3 2 2
8467200.gc1	[0,0,0,-3344250,2352980000]	8 3 2 2
8467200.gd1	[0,0,0,-2457000,1481760000]	8 3 2 2
8467200.ge1	[0,0,0,-7350,-343000]	8 3 2 2
8467200.gf1	[0,0,0,-66150,-9261000]	8 3 2 2
8467200.gg1	[0,0,0,-12436200,21951216000]	8 3 2 2
8467200.gh1	[0,0,0,-16927050,34857718000]	8 3 2 2
8467200.gi1	[0,0,0,-676200,214032000]	8 3 2 2
8467200.gj1	[0,0,0,-6085800,5778864000]	8 3 2 2
8467200.gk1	[0,0,0,-1381800,813008000]	8 3 2 2
8467200.gl1	[0,0,0,-152343450,941158386000]	8 3 2 2
8467200.gm1	[0,0,0,-88200,10976000]	8 3 2 2
8467200.gn1	[0,0,0,198450,-64827000]	8 3 2 2
8467200.go1	[0,0,0,22050,-2401000]	8 3 2 2
8467200.gp1	[0,0,0,-793800,296352000]	8 3 2 2
8467200.gq1	[0,0,0,9450,-10017000]	8 3 2 2
8467200.gr1	[0,0,0,51450,127253000]	8 3 2 2
8467200.gs1	[0,0,0,205800,-1018024000]	8 3 2 2
8467200.gt1	[0,0,0,37800,80136000]	8 3 2 2
8467200.gu1	[0,0,0,463050,3435831000]	8 3 2 2
8467200.gv1	[0,0,0,1050,-371000]	8 3 2 2
8467200.gw1	[0,0,0,4200,2968000]	8 3 2 2
8467200.gx1	[0,0,0,1852200,-27486648000]	8 3 2 2
8467200.gy1	[0,0,0,-22050,-1372000]	8 3 2 2
8467200.gz1	[0,0,0,793800,518616000]	8 3 2 2
8467200.ha1	[0,0,0,88200,19208000]	8 3 2 2
8467200.hb1	[0,0,0,-198450,-37044000]	8 3 2 2
8467200.hc1	[0,0,0,-67708200,-278861744000]	8 3 2 2
8467200.hd1	[0,0,0,-3109050,-2743902000]	8 3 2 2
8467200.he1	[0,0,0,-169050,-26754000]	8 3 2 2
8467200.hf1	[0,0,0,-1521450,-722358000]	8 3 2 2
8467200.hg1	[0,0,0,-609373800,-7529267088000]	8 3 2 2
8467200.hh1	[0,0,0,-345450,-101626000]	8 3 2 2
8467200.hi1	[0,0,0,-29400,2744000]	8 3 2 2
8467200.hj1	[0,0,0,-264600,74088000]	8 3 2 2
8467200.hk1	[0,0,0,10120950,-31552227000]	8 3 2 2
8467200.hl1	[0,0,0,1124550,-1168601000]	8 3 2 2
8467200.hm1	[0,0,0,205800,-537824000]	8 3 2 2
8467200.hn1	[0,0,0,-1418550,5540822000]	8 3 2 2
8467200.ho1	[0,0,0,9450,-5292000]	8 3 2 2
8467200.hp1	[0,0,0,-2447550,-1473822000]	8 3 2 2
8467200.hq1	[0,0,0,-53302200,-149783984000]	8 3 2 2
8467200.hr1	[0,0,0,-271950,-54586000]	8 3 2 2
8467200.hs1	[0,0,0,-479719800,-4044167568000]	8 3 2 2
8467200.ht1	[0,0,0,-12766950,149602194000]	8 3 2 2
8467200.hu1	[0,0,0,1852200,-14521248000]	8 3 2 2
8467200.hv1	[0,0,0,1050,-196000]	8 3 2 2
8467200.hw1	[0,0,0,-1029000,403368000]	8 3 2 2
8467200.hx1	[0,0,0,-47250,3969000]	8 3 2 2
8467200.hy1	[0,0,0,-9261000,10890936000]	8 3 2 2
8467200.hz1	[0,0,0,-5250,147000]	8 3 2 2
8467200.ia1	[0,0,0,-29400,-2195200]	8 3 2 2
8467200.ib1	[0,0,0,-1653750,926100000]	8 3 2 2
8467200.ic1	[0,0,0,-183750,34300000]	8 3 2 2
8467200.id1	[0,0,0,-264600,-59270400]	8 3 2 2
8467200.ie1	[0,0,0,-18139800,-29739472000]	8 3 2 2
8467200.if1	[0,0,0,-97703550,-371718018000]	8 3 2 2
8467200.ig1	[0,0,0,-886200,-321104000]	8 3 2 2
8467200.ih1	[0,0,0,-10855950,-13767334000]	8 3 2 2
8467200.ii1	[0,0,0,-7975800,-8669808000]	8 3 2 2
8467200.ij1	[0,0,0,-163258200,-802965744000]	8 3 2 2
8467200.ik1	[0,0,0,-4534950,3717434000]	8 3 2 2
8467200.il1	[0,0,0,-221550,40138000]	8 3 2 2
8467200.im1	[0,0,0,-390814200,2973744144000]	8 3 2 2
8467200.in1	[0,0,0,-1993950,1083726000]	8 3 2 2
8467200.io1	[0,0,0,-43423800,110138672000]	8 3 2 2
8467200.ip1	[0,0,0,-40814550,100370718000]	8 3 2 2
8467200.iq1	[0,0,0,-7350,274400]	8 3 2 2
8467200.ir1	[0,0,0,-6615000,-7408800000]	8 3 2 2
8467200.is1	[0,0,0,-735000,-274400000]	8 3 2 2
8467200.it1	[0,0,0,-66150,7408800]	8 3 2 2
8467200.iu1	[0,0,0,-189000,-31752000]	8 3 2 2
8467200.iv1	[0,0,0,-257250,-50421000]	8 3 2 2
8467200.iw1	[0,0,0,-21000,-1176000]	8 3 2 2
8467200.ix1	[0,0,0,-2315250,-1361367000]	8 3 2 2
8467200.iy1	[0,0,0,37800,42336000]	8 3 2 2
8467200.iz1	[0,0,0,-5674200,-44326576000]	8 3 2 2
8467200.ja1	[0,0,0,51450,67228000]	8 3 2 2
8467200.jb1	[0,0,0,-13325550,18722998000]	8 3 2 2
8467200.jc1	[0,0,0,-9790200,11790576000]	8 3 2 2
8467200.jd1	[0,0,0,-119929950,505520946000]	8 3 2 2
8467200.je1	[0,0,0,-1087800,436688000]	8 3 2 2
8467200.jf1	[0,0,0,4200,1568000]	8 3 2 2
8467200.jg1	[0,0,0,463050,1815156000]	8 3 2 2
8467200.jh1	[0,0,0,-51067800,-1196817552000]	8 3 2 2
8467200.ji1	[0,0,0,40483800,252417816000]	8 3 2 2
8467200.jj1	[0,0,0,4498200,9348808000]	8 3 2 2
8467200.jk1	[0,0,0,95550,-203056000]	8 3 2 2
8467200.jl1	[0,0,0,859950,-5482512000]	8 3 2 2
8467200.jm1	[0,0,0,-13230,-1852200]	8 3 2 2
8467200.jn1	[0,0,0,-147000,68600000]	8 3 2 2
8467200.jo1	[0,0,0,3439800,-148176000]	8 3 2 2
8467200.jp1	[0,0,0,-2447550,-1639197000]	8 3 2 2
8467200.jq1	[0,0,0,-271950,-60711000]	8 3 2 2
8467200.jr1	[0,0,0,382200,-5488000]	8 3 2 2
8467200.js1	[0,0,0,-1323000,1852200000]	8 3 2 2
8467200.jt1	[0,0,0,-1470,-68600]	8 3 2 2
8467200.ju1	[0,0,0,-18985050,-32024538000]	8 3 2 2
8467200.jv1	[0,0,0,-172200,-27664000]	8 3 2 2
8467200.jw1	[0,0,0,-3241350,-2268945000]	8 3 2 2
8467200.jx1	[0,0,0,-29400,-1960000]	8 3 2 2
8467200.jy1	[0,0,0,4200,168000]	8 3 2 2
8467200.jz1	[0,0,0,463050,194481000]	8 3 2 2
8467200.ka1	[0,0,0,37800,4536000]	8 3 2 2
8467200.kb1	[0,0,0,51450,7203000]	8 3 2 2
8467200.kc1	[0,0,0,-360150,-84035000]	8 3 2 2
8467200.kd1	[0,0,0,-264600,-52920000]	8 3 2 2
8467200.ke1	[0,0,0,-2109450,-1186094000]	8 3 2 2
8467200.kf1	[0,0,0,-1549800,-746928000]	8 3 2 2
8467200.kg1	[0,0,0,-159553800,-775997712000]	8 3 2 2
8467200.kh1	[0,0,0,-17728200,-28740656000]	8 3 2 2
8467200.ki1	[0,0,0,-39888450,96999714000]	8 3 2 2
8467200.kj1	[0,0,0,-4432050,3592582000]	8 3 2 2
8467200.kk1	[0,0,0,-43050,3458000]	8 3 2 2
8467200.kl1	[0,0,0,-75940200,256196304000]	8 3 2 2
8467200.km1	[0,0,0,-7350,245000]	8 3 2 2
8467200.kn1	[0,0,0,-12965400,18151560000]	8 3 2 2
8467200.ko1	[0,0,0,1852200,-1555848000]	8 3 2 2
8467200.kp1	[0,0,0,1050,-21000]	8 3 2 2
8467200.kq1	[0,0,0,205800,-57624000]	8 3 2 2
8467200.kr1	[0,0,0,9450,-567000]	8 3 2 2
8467200.ks1	[0,0,0,-66150,6615000]	8 3 2 2
8467200.kt1	[0,0,0,-1440600,672280000]	8 3 2 2
8467200.ku1	[0,0,0,-387450,93366000]	8 3 2 2
8467200.kv1	[0,0,0,-8437800,9488752000]	8 3 2 2
8467200.kw1	[0,0,0,-52920,14817600]	8 3 2 2
8467200.kx1	[0,0,0,-36750,-8575000]	8 3 2 2
8467200.ky1	[0,0,0,859950,18522000]	8 3 2 2
8467200.kz1	[0,0,0,-9790200,13113576000]	8 3 2 2
8467200.la1	[0,0,0,-1087800,485688000]	8 3 2 2
8467200.lb1	[0,0,0,95550,686000]	8 3 2 2
8467200.lc1	[0,0,0,-330750,-231525000]	8 3 2 2
8467200.ld1	[0,0,0,-5880,548800]	8 3 2 2
8467200.le1	[0,0,0,382200,1624448000]	8 3 2 2
8467200.lf1	[0,0,0,3439800,43860096000]	8 3 2 2
8467200.lg1	[0,0,0,859950,305613000]	8 3 2 2
8467200.lh1	[0,0,0,859950,-305613000]	8 3 2 2
8467200.li1	[0,0,0,95550,-11319000]	8 3 2 2
8467200.lj1	[0,0,0,95550,11319000]	8 3 2 2
8467200.lk1	[0,0,0,-72765000,-238933800000]	8 3 2 2
8467200.ll1	[0,0,0,-80850,-8849400]	8 3 2 2
8467200.lm1	[0,0,0,-80850,8849400]	8 3 2 2
8467200.ln1	[0,0,0,-72765000,238933800000]	8 3 2 2
8467200.lo1	[0,0,0,-2415000,-1444520000]	8 3 2 2
8467200.lp1	[0,0,0,-4733400,-3963762880]	8 3 2 2
8467200.lq1	[0,0,0,-217350,-39002040]	8 3 2 2
8467200.lr1	[0,0,0,-266253750,-1672212465000]	8 3 2 2
8467200.ls1	[0,0,0,-217350,39002040]	8 3 2 2
8467200.lt1	[0,0,0,-266253750,1672212465000]	8 3 2 2
8467200.lu1	[0,0,0,-2415000,1444520000]	8 3 2 2
8467200.lv1	[0,0,0,-4733400,3963762880]	8 3 2 2
8467200.lw1	[0,0,0,-80850,16121000]	8 3 2 2
8467200.lx1	[0,0,0,-80850,-16121000]	8 3 2 2
8467200.ly1	[0,0,0,-727650,-435267000]	8 3 2 2
8467200.lz1	[0,0,0,-727650,435267000]	8 3 2 2
8467200.ma1	[0,0,0,-21735000,39002040000]	8 3 2 2
8467200.mb1	[0,0,0,-42600600,107021597760]	8 3 2 2
8467200.mc1	[0,0,0,-24150,1444520]	8 3 2 2
8467200.md1	[0,0,0,-29583750,61933795000]	8 3 2 2
8467200.me1	[0,0,0,-24150,-1444520]	8 3 2 2
8467200.mf1	[0,0,0,-29583750,-61933795000]	8 3 2 2
8467200.mg1	[0,0,0,-21735000,-39002040000]	8 3 2 2
8467200.mh1	[0,0,0,-42600600,-107021597760]	8 3 2 2
8467200.mi1	[0,0,0,-8085000,8849400000]	8 3 2 2
8467200.mj1	[0,0,0,-727650,238933800]	8 3 2 2
8467200.mk1	[0,0,0,-727650,-238933800]	8 3 2 2
8467200.ml1	[0,0,0,-8085000,-8849400000]	8 3 2 2
8467200.mm1	[0,0,0,-565950,-153664000]	8 3 2 2
8467200.mn1	[0,0,0,-415800,-96768000]	8 3 2 2
8467200.mo1	[0,0,0,-415800,96768000]	8 3 2 2
8467200.mp1	[0,0,0,-565950,153664000]	8 3 2 2
8467200.mq1	[0,0,0,-264600,-65197440]	8 3 2 2
8467200.mr1	[0,0,0,-183750,-37730000]	8 3 2 2
8467200.ms1	[0,0,0,-183750,37730000]	8 3 2 2
8467200.mt1	[0,0,0,-264600,65197440]	8 3 2 2
8467200.mu1	[0,0,0,-1653750,1018710000]	8 3 2 2
8467200.mv1	[0,0,0,-29400,2414720]	8 3 2 2
8467200.mw1	[0,0,0,-29400,-2414720]	8 3 2 2
8467200.mx1	[0,0,0,-1653750,-1018710000]	8 3 2 2
8467200.my1	[0,0,0,-46200,3584000]	8 3 2 2
8467200.mz1	[0,0,0,-5093550,4148928000]	8 3 2 2
8467200.na1	[0,0,0,-5093550,-4148928000]	8 3 2 2
8467200.nb1	[0,0,0,-46200,-3584000]	8 3 2 2
8467200.nc1	[0,0,0,-26923050,-42694533000]	8 3 2 2
8467200.nd1	[0,0,0,-586324200,-4339029576000]	8 3 2 2
8467200.ne1	[0,0,0,-586324200,4339029576000]	8 3 2 2
8467200.nf1	[0,0,0,-26923050,42694533000]	8 3 2 2
8467200.ng1	[0,0,0,-5276917800,117153798552000]	8 3 2 2
8467200.nh1	[0,0,0,-2991450,1581279000]	8 3 2 2
8467200.ni1	[0,0,0,-2991450,-1581279000]	8 3 2 2
8467200.nj1	[0,0,0,-5276917800,-117153798552000]	8 3 2 2
8467200.nk1	[0,0,0,-2329950,1728034000]	8 3 2 2
8467200.nl1	[0,0,0,-9319800,-13824272000]	8 3 2 2
8467200.nm1	[0,0,0,-9319800,13824272000]	8 3 2 2
8467200.nn1	[0,0,0,-2329950,-1728034000]	8 3 2 2
8467200.no1	[0,0,0,-83878200,373255344000]	8 3 2 2
8467200.np1	[0,0,0,-20969550,-46656918000]	8 3 2 2
8467200.nq1	[0,0,0,-20969550,46656918000]	8 3 2 2
8467200.nr1	[0,0,0,-83878200,-373255344000]	8 3 2 2
8467200.ns1	[0,0,0,-146581050,542378697000]	8 3 2 2
8467200.nt1	[0,0,0,-107692200,341556264000]	8 3 2 2
8467200.nu1	[0,0,0,-107692200,-341556264000]	8 3 2 2
8467200.nv1	[0,0,0,-146581050,-542378697000]	8 3 2 2
8467200.nw1	[0,0,0,-11965800,-12650232000]	8 3 2 2
8467200.nx1	[0,0,0,-1319229450,-14644224819000]	8 3 2 2
8467200.ny1	[0,0,0,-1319229450,14644224819000]	8 3 2 2
8467200.nz1	[0,0,0,-11965800,12650232000]	8 3 2 2
8467200.oa1	[0,0,0,-103950,12096000]	8 3 2 2
8467200.ob1	[0,0,0,-2263800,1229312000]	8 3 2 2
